Date,Station,Daily_AQI,Month,Year,Day_of_Week,Season,Lag_1_AQI,Rolling_Mean_3_AQI,Rolling_Mean_7_AQI
2023-12-23,Anand Vihar,447.25,12,2023,5,Winter,477.7916666666667,446.96125730994135,390.6347565341926
2023-12-24,Anand Vihar,434.7916666666667,12,2023,6,Winter,447.25,453.2777777777776,393.72744360902254
2023-12-25,Anand Vihar,407.375,12,2023,0,Winter,434.7916666666667,429.8055555555554,408.0607769423559
2023-12-26,Anand Vihar,418.5833333333333,12,2023,1,Winter,407.375,420.2499999999998,422.09649122807014
2023-12-27,Anand Vihar,485.0,12,2023,2,Winter,418.5833333333333,436.9861111111109,440.9476817042606
2023-12-28,Anand Vihar,410.5416666666667,12,2023,3,Winter,485.0,438.0416666666665,440.1904761904762
2023-12-29,Anand Vihar,438.8333333333333,12,2023,4,Winter,410.5416666666667,444.7916666666665,434.625
2023-12-30,Anand Vihar,435.5416666666667,12,2023,5,Winter,438.8333333333333,428.3055555555554,432.952380952381
2023-12-31,Anand Vihar,393.0,12,2023,6,Winter,435.5416666666667,422.4583333333332,426.98214285714283
2017-01-01,ITO,499.125,1,2017,6,Winter,,499.125,499.125
2017-01-02,ITO,368.6666666666667,1,2017,0,Winter,499.125,433.89583333333337,433.89583333333337
2017-01-03,ITO,277.125,1,2017,1,Winter,368.6666666666667,381.6388888888889,381.6388888888889
2017-01-04,ITO,318.2083333333333,1,2017,2,Winter,277.125,321.3333333333333,365.78125
2017-01-05,ITO,341.9583333333333,1,2017,3,Winter,318.2083333333333,312.4305555555555,361.01666666666665
2017-01-06,ITO,340.9583333333333,1,2017,4,Winter,341.9583333333333,333.7083333333333,357.6736111111111
2017-01-07,ITO,264.7916666666667,1,2017,5,Winter,340.9583333333333,315.90277777777777,344.4047619047619
2017-01-08,ITO,296.7083333333333,1,2017,6,Winter,264.7916666666667,300.81944444444446,315.48809523809524
2017-01-09,ITO,281.5,1,2017,0,Winter,296.7083333333333,281.0,303.0357142857143
2017-01-10,ITO,201.95833333333334,1,2017,1,Winter,281.5,260.05555555555554,292.29761904761904
2017-01-11,ITO,228.16666666666666,1,2017,2,Winter,201.95833333333334,237.20833333333334,279.4345238095238
2017-01-12,ITO,273.0,1,2017,3,Winter,228.16666666666666,234.375,269.58333333333337
2017-01-13,ITO,307.5833333333333,1,2017,4,Winter,273.0,269.5833333333333,264.8154761904762
2017-01-14,ITO,380.875,1,2017,5,Winter,307.5833333333333,320.4861111111111,281.3988095238095
2017-01-15,ITO,330.25,1,2017,6,Winter,380.875,339.5694444444444,286.1904761904762
2017-01-16,ITO,312.6666666666667,1,2017,0,Winter,330.25,341.2638888888889,290.64285714285717
